key_pair,comfort_score,distance_score,dvorak7_score,engram_avg4_score,time_score,comfort_score_normalized,distance_score_normalized,dvorak7_score_normalized,engram_avg4_score_normalized,time_score_normalized
/W,-0.656586,82.235587,0.714286,0.873545,710.551498,0.562276,0.609152,0.102041,0.873545,0.206693
/X,-0.79494,85.883642,0.714286,0.843091,859.5,0.47004,0.636175,0.102041,0.843091,0.425735
/Y,-1.411593,104.162733,0.5,0.492318,859.5,0.058938,0.771576,0.071429,0.492318,0.425735
/Z,-0.7701,85.883642,0.714286,0.843091,1059.5,0.4866,0.636175,0.102041,0.843091,0.719853
/[,-1.411593,83.281704,0.071429,0.1855,859.5,0.058938,0.616902,0.010204,0.1855,0.425735
;',-1.108432,38.0,0.5,0.414864,859.5,0.261045,0.281481,0.071429,0.414864,0.425735
";,",-0.881421,42.941821,0.714286,0.706182,859.5,0.412386,0.318088,0.102041,0.706182,0.425735
;.,-0.955016,42.941821,0.5,0.681364,859.5,0.363323,0.318088,0.071429,0.681364,0.425735
;/,-1.083828,42.941821,0.285714,0.374545,1059.5,0.277448,0.318088,0.040816,0.374545,0.719853
;;,-0.486375,0.0,0.571429,0.483636,859.5,0.67575,0.0,0.081633,0.483636,0.425735
;A,-0.337438,0.0,0.857143,0.892727,859.5,0.775041,0.0,0.122449,0.892727,0.425735
;B,-0.586998,69.339743,0.785714,0.823955,945.7,0.608668,0.513628,0.112245,0.823955,0.5525
;C,-0.544293,42.941821,0.857143,0.892727,859.5,0.637138,0.318088,0.122449,0.892727,0.425735
;D,-0.271775,0.0,0.928571,0.934545,865.9,0.818817,0.0,0.132653,0.934545,0.435147
;E,-0.339469,39.293765,0.857143,0.914182,871.0,0.773688,0.291065,0.122449,0.914182,0.442647
;F,-0.199284,0.0,0.928571,0.946364,904.0,0.867144,0.0,0.132653,0.946364,0.491176
;G,-0.586998,38.0,0.857143,0.823955,859.5,0.608668,0.281481,0.122449,0.823955,0.425735
;H,-1.108432,38.0,0.785714,0.772818,859.5,0.261045,0.281481,0.112245,0.772818,0.425735
;I,-0.756339,39.293765,0.714286,0.727636,871.0,0.495774,0.291065,0.102041,0.727636,0.442647
;J,-0.337438,0.0,0.857143,0.895227,904.0,0.775041,0.0,0.122449,0.895227,0.491176
;K,-0.380555,0.0,0.857143,0.883409,865.9,0.746297,0.0,0.122449,0.883409,0.435147
;L,-0.405374,0.0,0.785714,0.914182,871.0,0.729751,0.0,0.112245,0.914182,0.442647
;M,-0.725767,42.941821,0.714286,0.720545,894.1,0.516155,0.318088,0.102041,0.720545,0.476618
;N,-1.108432,42.047592,0.642857,0.637409,886.9,0.261045,0.311464,0.091837,0.637409,0.466029
;O,-0.839825,39.293765,0.5,0.711818,892.6,0.440117,0.291065,0.071429,0.711818,0.474412
;P,-1.108432,39.293765,0.285714,0.374545,859.5,0.261045,0.291065,0.040816,0.374545,0.425735
;Q,-0.527183,39.293765,0.785714,0.867909,877.9,0.648545,0.291065,0.112245,0.867909,0.452794
;R,-0.339469,39.293765,0.857143,0.907091,873.1,0.773688,0.291065,0.122449,0.907091,0.445735
;S,-0.305538,0.0,0.857143,0.914182,871.0,0.796308,0.0,0.122449,0.914182,0.442647
;T,-0.586998,47.201695,0.785714,0.823955,859.5,0.608668,0.349642,0.112245,0.823955,0.425735
;U,-0.63598,39.293765,0.714286,0.720545,873.1,0.576013,0.291065,0.102041,0.720545,0.445735
;V,-0.436359,42.941821,0.857143,0.907091,894.1,0.709094,0.318088,0.122449,0.907091,0.476618
;W,-0.440255,39.293765,0.785714,0.898364,892.6,0.706496,0.291065,0.112245,0.898364,0.474412
;X,-0.578609,42.941821,0.785714,0.867909,859.5,0.614261,0.318088,0.112245,0.867909,0.425735
;Y,-1.108432,61.220911,0.642857,0.637409,859.5,0.261045,0.453488,0.091837,0.637409,0.425735
;Z,-0.553769,42.941821,0.785714,0.867909,1059.5,0.63082,0.318088,0.112245,0.867909,0.719853
;[,-1.108432,47.201695,0.214286,0.330591,859.5,0.261045,0.349642,0.030612,0.330591,0.425735
A',-0.586998,38.0,0.785714,0.823955,859.5,0.608668,0.281481,0.112245,0.823955,0.425735
"A,",-0.544293,42.941821,0.857143,0.892727,859.5,0.637138,0.318088,0.122449,0.892727,0.425735
A.,-0.578609,42.941821,0.785714,0.867909,859.5,0.614261,0.318088,0.112245,0.867909,0.425735
A/,-0.553769,42.941821,0.785714,0.867909,1059.5,0.63082,0.318088,0.112245,0.867909,0.719853
A;,-0.337438,0.0,0.857143,0.892727,859.5,0.775041,0.0,0.122449,0.892727,0.425735
AA,-0.486375,0.0,0.571429,0.483636,859.5,0.67575,0.0,0.081633,0.483636,0.425735
AB,-1.108432,69.339743,0.642857,0.637409,802.561939,0.261045,0.513628,0.091837,0.637409,0.342003
AC,-0.881421,42.941821,0.714286,0.706182,859.5,0.412386,0.318088,0.102041,0.706182,0.425735
AD,-0.380555,0.0,0.857143,0.883409,859.5,0.746297,0.0,0.122449,0.883409,0.425735
AE,-0.756339,39.293765,0.714286,0.727636,862.9,0.495774,0.291065,0.102041,0.727636,0.430735
AF,-0.337438,0.0,0.857143,0.895227,904.0,0.775041,0.0,0.122449,0.895227,0.491176
AG,-1.108432,38.0,0.785714,0.772818,859.5,0.261045,0.281481,0.112245,0.772818,0.425735
AH,-0.586998,38.0,0.857143,0.823955,859.5,0.608668,0.281481,0.122449,0.823955,0.425735
AI,-0.339469,39.293765,0.857143,0.914182,871.0,0.773688,0.291065,0.122449,0.914182,0.442647
AJ,-0.199284,0.0,0.928571,0.946364,904.0,0.867144,0.0,0.132653,0.946364,0.491176
AK,-0.271775,0.0,0.928571,0.934545,865.9,0.818817,0.0,0.132653,0.934545,0.435147
AL,-0.305538,0.0,0.857143,0.914182,872.498931,0.796308,0.0,0.122449,0.914182,0.444851
AM,-0.436359,42.941821,0.857143,0.907091,894.1,0.709094,0.318088,0.122449,0.907091,0.476618
AN,-0.586998,42.047592,0.785714,0.823955,995.182936,0.608668,0.311464,0.112245,0.823955,0.625269
AO,-0.440255,39.293765,0.785714,0.898364,859.5,0.706496,0.291065,0.112245,0.898364,0.425735
AP,-0.527183,39.293765,0.785714,0.867909,859.5,0.648545,0.291065,0.112245,0.867909,0.425735
AQ,-1.108432,39.293765,0.285714,0.374545,859.5,0.261045,0.291065,0.040816,0.374545,0.425735
