key_pair,distance_setup,distance_interval,distance_return,distance_total
J[,0.0,23.600847442411894,23.600847442411894,47.20169488482379
K',0.0,19.0,19.0,38.0
"K,",0.0,21.470910553583888,21.470910553583888,42.941821107167776
K.,0.0,21.470910553583888,21.470910553583888,42.941821107167776
K/,0.0,21.470910553583888,21.470910553583888,42.941821107167776
K;,0.0,0.0,0.0,0.0
KA,0.0,0.0,0.0,0.0
KB,0.0,34.66987164671943,34.66987164671943,69.33974329343886
KC,0.0,21.470910553583888,21.470910553583888,42.941821107167776
KD,0.0,0.0,0.0,0.0
KE,0.0,19.6468827043885,19.6468827043885,39.293765408777
KF,0.0,0.0,0.0,0.0
KG,0.0,19.0,19.0,38.0
KH,0.0,19.0,19.0,38.0
KI,0.0,19.6468827043885,19.6468827043885,39.293765408777
KJ,0.0,0.0,0.0,0.0
KK,0.0,0.0,0.0,0.0
KL,0.0,0.0,0.0,0.0
KM,0.0,21.470910553583888,21.470910553583888,42.941821107167776
KN,0.0,21.02379604162864,21.02379604162864,42.04759208325728
KO,0.0,19.6468827043885,19.6468827043885,39.293765408777
KP,0.0,19.6468827043885,19.6468827043885,39.293765408777
KQ,0.0,19.6468827043885,19.6468827043885,39.293765408777
KR,0.0,19.6468827043885,19.6468827043885,39.293765408777
KS,0.0,0.0,0.0,0.0
KT,0.0,23.600847442411894,23.600847442411894,47.20169488482379
KU,0.0,19.6468827043885,19.6468827043885,39.293765408777
KV,0.0,21.470910553583888,21.470910553583888,42.941821107167776
KW,0.0,19.6468827043885,19.6468827043885,39.293765408777
KX,0.0,21.470910553583888,21.470910553583888,42.941821107167776
KY,0.0,30.610455730027933,30.610455730027933,61.220911460055866
KZ,0.0,21.470910553583888,21.470910553583888,42.941821107167776
K[,0.0,23.600847442411894,23.600847442411894,47.20169488482379
L',0.0,19.0,19.0,38.0
"L,",0.0,21.470910553583888,21.470910553583888,42.941821107167776
L.,0.0,21.470910553583888,21.470910553583888,42.941821107167776
L/,0.0,21.470910553583888,21.470910553583888,42.941821107167776
L;,0.0,0.0,0.0,0.0
LA,0.0,0.0,0.0,0.0
LB,0.0,34.66987164671943,34.66987164671943,69.33974329343886
LC,0.0,21.470910553583888,21.470910553583888,42.941821107167776
LD,0.0,0.0,0.0,0.0
LE,0.0,19.6468827043885,19.6468827043885,39.293765408777
LF,0.0,0.0,0.0,0.0
LG,0.0,19.0,19.0,38.0
LH,0.0,19.0,19.0,38.0
LI,0.0,19.6468827043885,19.6468827043885,39.293765408777
LJ,0.0,0.0,0.0,0.0
LK,0.0,0.0,0.0,0.0
LL,0.0,0.0,0.0,0.0
LM,0.0,21.470910553583888,21.470910553583888,42.941821107167776
LN,0.0,21.02379604162864,21.02379604162864,42.04759208325728
LO,0.0,19.6468827043885,19.6468827043885,39.293765408777
LP,0.0,19.6468827043885,19.6468827043885,39.293765408777
LQ,0.0,19.6468827043885,19.6468827043885,39.293765408777
LR,0.0,19.6468827043885,19.6468827043885,39.293765408777
LS,0.0,0.0,0.0,0.0
LT,0.0,23.600847442411894,23.600847442411894,47.20169488482379
LU,0.0,19.6468827043885,19.6468827043885,39.293765408777
LV,0.0,21.470910553583888,21.470910553583888,42.941821107167776
LW,0.0,19.6468827043885,19.6468827043885,39.293765408777
LX,0.0,21.470910553583888,21.470910553583888,42.941821107167776
LY,0.0,30.610455730027933,30.610455730027933,61.220911460055866
LZ,0.0,21.470910553583888,21.470910553583888,42.941821107167776
L[,0.0,23.600847442411894,23.600847442411894,47.20169488482379
M',21.470910553583888,19.0,40.47091055358389,80.94182110716778
"M,",21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
M.,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
M/,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
M;,21.470910553583888,0.0,21.470910553583888,42.941821107167776
MA,21.470910553583888,0.0,21.470910553583888,42.941821107167776
MB,21.470910553583888,34.66987164671943,56.14078220030332,112.28156440060664
MC,21.470910553583888,21.470910553583888,42.941821107167776,85.88364221433555
MD,21.470910553583888,0.0,21.470910553583888,42.941821107167776
ME,21.470910553583888,19.6468827043885,41.11779325797239,82.23558651594477
MF,21.470910553583888,0.0,21.470910553583888,42.941821107167776
