key_pair,comfort_score,distance_score,dvorak7_score,engram7_score,time_score,comfort_score_normalized,distance_score_normalized,dvorak7_score_normalized,engram7_score_normalized,time_score_normalized
AJ,-0.199284,0.0,0.928571,0.928571,904.0,0.867144,0.0,0.132653,0.132653,0.491176
AK,-0.271775,0.0,0.928571,0.928571,865.9,0.818817,0.0,0.132653,0.132653,0.435147
AL,-0.305538,0.0,0.857143,0.857143,872.498931,0.796308,0.0,0.122449,0.122449,0.444851
AM,-0.436359,42.941821,0.857143,0.892857,894.1,0.709094,0.318088,0.122449,0.127551,0.476618
AN,-0.586998,42.047592,0.785714,0.785714,995.182936,0.608668,0.311464,0.112245,0.112245,0.625269
AO,-0.440255,39.293765,0.785714,0.821429,859.5,0.706496,0.291065,0.112245,0.117347,0.425735
AP,-0.527183,39.293765,0.785714,0.714286,859.5,0.648545,0.291065,0.112245,0.102041,0.425735
AQ,-1.108432,39.293765,0.285714,0.214286,859.5,0.261045,0.291065,0.040816,0.030612,0.425735
AR,-0.63598,39.293765,0.714286,0.571429,875.106884,0.576013,0.291065,0.102041,0.081633,0.448687
AS,-0.405374,0.0,0.642857,0.857143,871.0,0.729751,0.0,0.091837,0.122449,0.442647
AT,-1.108432,47.201695,0.642857,0.571429,933.332895,0.261045,0.349642,0.091837,0.081633,0.534313
AU,-0.339469,39.293765,0.857143,0.785714,859.5,0.773688,0.291065,0.122449,0.112245,0.425735
AV,-0.725767,42.941821,0.714286,0.678571,859.5,0.516155,0.318088,0.102041,0.096939,0.425735
AW,-0.839825,39.293765,0.5,0.464286,892.6,0.440117,0.291065,0.071429,0.066327,0.474412
AX,-0.955016,42.941821,0.5,0.464286,859.5,0.363323,0.318088,0.071429,0.066327,0.425735
AY,-0.586998,61.220911,0.785714,0.785714,694.242423,0.608668,0.453488,0.112245,0.112245,0.182709
AZ,-1.083828,42.941821,0.285714,0.321429,952.239483,0.277448,0.318088,0.040816,0.045918,0.562117
A[,-0.586998,47.201695,0.714286,0.714286,859.5,0.608668,0.349642,0.102041,0.102041,0.425735
B',-0.836557,107.339743,0.714286,0.642857,873.6,0.442295,0.795109,0.102041,0.091837,0.446471
"B,",-0.793852,112.281564,0.785714,0.785714,873.6,0.470765,0.831715,0.112245,0.112245,0.446471
B.,-0.828168,112.281564,0.714286,0.75,873.6,0.447888,0.831715,0.102041,0.107143,0.446471
B/,-0.803329,112.281564,0.714286,0.75,873.6,0.464448,0.831715,0.102041,0.107143,0.446471
B;,-0.586998,69.339743,0.785714,0.785714,873.6,0.608668,0.513628,0.112245,0.112245,0.446471
BA,-1.108615,69.339743,0.5,0.571429,673.855161,0.260923,0.513628,0.071429,0.081633,0.152728
BB,-1.442261,69.339743,0.285714,0.285714,696.965115,0.038493,0.513628,0.040816,0.040816,0.186713
BC,-1.309704,112.281564,0.571429,0.5,886.612929,0.126864,0.831715,0.081633,0.071429,0.465607
BD,-0.953484,69.339743,0.571429,0.5,741.979055,0.364344,0.513628,0.081633,0.071429,0.25291
BE,-1.25098,108.633509,0.428571,0.392857,815.468834,0.166014,0.804693,0.061224,0.056122,0.360984
BF,-0.836557,69.339743,0.357143,0.357143,921.270089,0.442295,0.513628,0.05102,0.05102,0.516574
BG,-1.442261,75.140782,0.285714,0.214286,877.996471,0.038493,0.556598,0.040816,0.030612,0.452936
BH,-0.836557,107.339743,0.785714,0.714286,883.176955,0.442295,0.795109,0.112245,0.102041,0.460554
BI,-0.589028,108.633509,0.785714,0.821429,686.73881,0.607315,0.804693,0.112245,0.117347,0.171675
BJ,-0.448844,69.339743,0.857143,0.857143,965.260872,0.700771,0.513628,0.122449,0.122449,0.581266
BK,-0.521334,69.339743,0.857143,0.857143,876.018944,0.652444,0.513628,0.122449,0.122449,0.450028
BL,-0.555098,69.339743,0.785714,0.785714,742.938994,0.629935,0.513628,0.112245,0.112245,0.254322
BM,-0.685918,112.281564,0.785714,0.821429,890.521973,0.542721,0.831715,0.112245,0.117347,0.471356
BN,-0.836557,111.387335,0.714286,0.714286,914.733574,0.442295,0.825091,0.102041,0.102041,0.506961
BO,-0.689815,108.633509,0.714286,0.75,743.66621,0.540123,0.804693,0.102041,0.107143,0.255391
BP,-0.776742,108.633509,0.714286,0.714286,707.318687,0.482172,0.804693,0.102041,0.102041,0.201939
BQ,-1.442261,108.633509,0.357143,0.428571,892.484793,0.038493,0.804693,0.05102,0.061224,0.474242
BR,-1.242302,105.306949,0.214286,0.214286,737.694279,0.171799,0.780051,0.030612,0.030612,0.246609
BS,-1.030731,69.339743,0.5,0.571429,715.099977,0.312846,0.513628,0.071429,0.081633,0.213382
BT,-1.442261,99.124116,0.142857,0.142857,730.98505,0.038493,0.734253,0.020408,0.020408,0.236743
BU,-0.589028,108.633509,0.785714,0.785714,736.403903,0.607315,0.804693,0.112245,0.112245,0.244712
BV,-1.095099,75.140782,0.357143,0.392857,850.022141,0.269934,0.556598,0.05102,0.056122,0.411797
BW,-1.306993,108.633509,0.357143,0.464286,878.370848,0.128671,0.804693,0.05102,0.066327,0.453487
BX,-1.363758,112.281564,0.5,0.464286,874.633202,0.090828,0.831715,0.071429,0.066327,0.44799
BY,-0.836557,130.560655,0.714286,0.714286,716.6784,0.442295,0.967116,0.102041,0.102041,0.215704
BZ,-1.428568,112.281564,0.5,0.464286,1074.859632,0.047621,0.831715,0.071429,0.066327,0.742441
B[,-0.836557,116.541438,0.642857,0.642857,873.6,0.442295,0.86327,0.091837,0.091837,0.446471
C',-0.793852,80.941821,0.785714,0.714286,861.9,0.470765,0.599569,0.112245,0.102041,0.429265
"C,",-0.751148,85.883642,0.857143,0.857143,861.9,0.499235,0.636175,0.122449,0.122449,0.429265
C.,-0.785464,85.883642,0.785714,0.821429,861.9,0.476358,0.636175,0.112245,0.117347,0.429265
C/,-0.760624,85.883642,0.785714,0.821429,1061.9,0.492917,0.636175,0.112245,0.117347,0.723382
C;,-0.544293,42.941821,0.857143,0.857143,861.9,0.637138,0.318088,0.122449,0.122449,0.429265
CA,-0.995078,42.941821,0.571429,0.642857,861.9,0.336615,0.318088,0.081633,0.091837,0.429265
CB,-1.401832,112.281564,0.714286,0.642857,955.351792,0.065445,0.831715,0.102041,0.091837,0.566694
CC,-0.832472,42.941821,0.428571,0.428571,664.677475,0.445018,0.318088,0.061224,0.061224,0.139232
CD,-0.892973,42.941821,0.428571,0.428571,882.493094,0.404685,0.318088,0.061224,0.061224,0.459549
CE,-1.079536,81.97119,0.285714,0.321429,845.807335,0.28031,0.607194,0.040816,0.045918,0.405599
CF,-0.815792,42.941821,0.785714,0.571429,733.549637,0.456139,0.318088,0.112245,0.081633,0.240514
CG,-1.401832,80.941821,0.714286,0.428571,870.615959,0.065445,0.599569,0.102041,0.061224,0.442082
CH,-0.793852,80.941821,0.857143,0.785714,775.663924,0.470765,0.599569,0.122449,0.112245,0.302447
CI,-0.546323,82.235587,0.857143,0.892857,720.009953,0.635785,0.609152,0.122449,0.127551,0.220603
CJ,-0.406139,42.941821,0.928571,0.928571,908.998934,0.729241,0.318088,0.132653,0.132653,0.498528
CK,-0.478629,42.941821,0.928571,0.928571,640.803453,0.680914,0.318088,0.132653,0.132653,0.104123
CL,-0.512393,42.941821,0.857143,0.857143,676.800338,0.658405,0.318088,0.122449,0.122449,0.157059
CM,-0.643213,85.883642,0.857143,0.892857,663.5,0.571191,0.636175,0.122449,0.127551,0.1375
CN,-0.793852,84.989413,0.785714,0.785714,896.379347,0.470765,0.629551,0.112245,0.112245,0.47997
CO,-0.64711,82.235587,0.785714,0.821429,837.7043,0.568593,0.609152,0.112245,0.117347,0.393683
CP,-0.734038,82.235587,0.785714,0.785714,872.652291,0.510642,0.609152,0.112245,0.112245,0.445077
CQ,-1.401832,82.235587,0.428571,0.5,902.88121,0.065445,0.609152,0.061224,0.071429,0.489531
CR,-1.185696,82.235587,0.642857,0.428571,758.480688,0.209536,0.609152,0.091837,0.061224,0.277177
CS,-0.938654,42.941821,0.428571,0.5,638.646059,0.374231,0.318088,0.061224,0.071429,0.10095
CT,-1.401832,90.143516,0.571429,0.357143,845.131553,0.065445,0.66773,0.081633,0.05102,0.404605
CU,-0.546323,82.235587,0.857143,0.857143,702.303185,0.635785,0.609152,0.122449,0.122449,0.194564
CV,-0.751148,85.883642,0.785714,0.892857,900.408824,0.499235,0.636175,0.112245,0.127551,0.485895
CW,-1.221264,82.235587,0.285714,0.392857,895.0,0.185824,0.609152,0.040816,0.056122,0.477941
CX,-1.093728,85.883642,0.428571,0.678571,863.033916,0.270848,0.636175,0.061224,0.096939,0.430932
CY,-0.793852,104.162733,0.785714,0.785714,645.317185,0.470765,0.771576,0.112245,0.112245,0.110761
CZ,-1.079011,85.883642,0.571429,0.535714,1069.759676,0.280659,0.636175,0.081633,0.076531,0.734941
