layout,distance_ignore_cross_hand,distance_scorer_average_travel,distance_scorer_keystroke_count,distance_scorer_max_travel,distance_scorer_min_travel,distance_scorer_primary,distance_scorer_total_travel,distance_text_length,dvorak9_available_comfort_combinations,dvorak9_available_speed_combinations,dvorak9_ignore_cross_hand,dvorak9_scorer_columns,dvorak9_scorer_comfort_weighted_score,dvorak9_scorer_dont_cross_home,dvorak9_scorer_fingers,dvorak9_scorer_frequency_weighted_score,dvorak9_scorer_hands,dvorak9_scorer_home_row,dvorak9_scorer_primary,dvorak9_scorer_pure_dvorak_score,dvorak9_scorer_same_row,dvorak9_scorer_skip_fingers,dvorak9_scorer_speed_weighted_score,dvorak9_scorer_strong_fingers,dvorak9_scorer_strum,dvorak9_theoretical_maximum,engram_alphabet_coverage_24key,engram_alphabet_coverage_32key,engram_home_block_coverage,engram_ignore_cross_hand,engram_layout_size_24key,engram_layout_size_32key,engram_scorer_item_component,engram_scorer_item_component_24key,engram_scorer_item_component_32key,engram_scorer_item_pair_component,engram_scorer_item_pair_component_24key,engram_scorer_item_pair_component_32key,engram_scorer_primary,engram_scorer_total_score_24key,engram_scorer_total_score_32key
layout128,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.786765,0.141672,0.955738,0.898332,0.683163,0.566853,0.489976,0.104732,0.609118,0.387584,0.701702,0.104732,0.599940,0.761578,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.088804,0.109948,0.088804,0.085520,0.101603,0.085520,0.007595,0.011171,0.007595
layout128_common,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.786765,0.141672,0.955738,0.898332,0.683163,0.566853,0.489976,0.104732,0.609118,0.387584,0.701702,0.104732,0.599940,0.761578,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.088804,0.109948,0.088804,0.085520,0.101603,0.085520,0.007595,0.011171,0.007595
layout12_common,0.000000,11.658753,5.000000,19.646883,0.000000,0.988476,58.293765,5.000000,405.000000,512.000000,0.000000,0.787745,0.135983,0.946371,0.873694,0.655729,0.504010,0.481966,0.100526,0.608869,0.366605,0.645041,0.100526,0.585290,0.710844,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089129,0.110350,0.089129,0.083127,0.097152,0.083127,0.007409,0.010721,0.007409
layout13,0.000000,19.383520,5.000000,34.669872,0.000000,0.980985,96.917602,5.000000,405.000000,512.000000,0.000000,0.797992,0.137393,0.972945,0.880871,0.662528,0.502499,0.508833,0.101569,0.609782,0.383142,0.634904,0.101569,0.575553,0.706013,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.086380,0.106946,0.086380,0.084568,0.101881,0.084568,0.007305,0.010896,0.007305
layout130,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.780921,0.141293,0.953962,0.898889,0.681337,0.559002,0.492623,0.104452,0.608288,0.382519,0.704950,0.104452,0.599940,0.759222,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.088660,0.109769,0.088660,0.087281,0.103249,0.087281,0.007738,0.011334,0.007738
layout130_common,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.780921,0.141293,0.953962,0.898889,0.681337,0.559002,0.492623,0.104452,0.608288,0.382519,0.704950,0.104452,0.599940,0.759222,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.088660,0.109769,0.088660,0.087281,0.103249,0.087281,0.007738,0.011334,0.007738
layout134,0.000000,24.861390,5.000000,50.990195,0.000000,0.975742,124.306949,5.000000,405.000000,512.000000,0.000000,0.797294,0.142147,0.959618,0.893746,0.685454,0.566853,0.489976,0.105083,0.609699,0.407459,0.702772,0.105083,0.598824,0.752543,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.088888,0.110052,0.088888,0.086474,0.104366,0.086474,0.007687,0.011486,0.007687
layout134_common,0.000000,24.861390,5.000000,50.990195,0.000000,0.975742,124.306949,5.000000,405.000000,512.000000,0.000000,0.797294,0.142147,0.959618,0.893746,0.685454,0.566853,0.489976,0.105083,0.609699,0.407459,0.702772,0.105083,0.598824,0.752543,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.088888,0.110052,0.088888,0.086474,0.104366,0.086474,0.007687,0.011486,0.007687
layout136,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.786765,0.141269,0.956121,0.897321,0.681220,0.553816,0.492846,0.104434,0.608537,0.401595,0.694765,0.104434,0.603288,0.744463,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089428,0.110720,0.089428,0.086565,0.103383,0.086565,0.007741,0.011447,0.007741
layout136_common,0.000000,18.957533,5.000000,34.669872,0.000000,0.981395,94.787665,5.000000,405.000000,512.000000,0.000000,0.786765,0.141269,0.956121,0.897321,0.681220,0.553816,0.492846,0.104434,0.608537,0.401595,0.694765,0.104434,0.603288,0.744463,1.000000,0.807692,1.000000,0.807692,0.000000,21.000000,26.000000,0.089428,0.110720,0.089428,0.086565,0.103383,0.086565,0.007741,0.011447,0.007741
