combination,k_way,correlation,p_value,abs_correlation,supports_dvorak,p_fdr_corrected,significant_after_fdr
skip_fingers + same_row + columns + strong_fingers,4,0.277688635856282,2.7911582794424694e-12,0.277688635856282,True,1.0187727719965013e-11,True
hands + fingers + dont_cross_home + same_row + home_row + columns + strum,7,0.2770496140988101,3.144357576002646e-12,0.2770496140988101,True,1.1395508661967036e-11,True
hands + dont_cross_home + home_row + columns + strum + strong_fingers,6,0.27213913062352807,7.775115418964418e-12,0.27213913062352807,True,2.7979464641484634e-11,True
dont_cross_home + home_row + strum + strong_fingers,4,0.27190325289798195,8.116984246107244e-12,0.27190325289798195,True,2.9005447201124488e-11,True
hands + dont_cross_home + columns,3,0.2682938978477195,1.559893913731145e-11,0.2682938978477195,True,5.5354568744209384e-11,True
hands + same_row + home_row + columns + strum,5,0.2672644021524901,1.876032237383433e-11,0.2672644021524901,True,6.611396367606443e-11,True
hands + home_row + columns + strong_fingers,4,0.2667716858409102,2.0486912245642653e-11,0.2667716858409102,True,7.170419285974928e-11,True
hands + dont_cross_home + same_row + columns + strum,5,0.26509806150188275,2.7591128705824147e-11,0.26509806150188275,True,9.591201883453157e-11,True
same_row,1,0.26411467706759806,3.2833580332435025e-11,0.26411467706759806,True,1.1336459155320472e-10,True
skip_fingers + home_row + columns,3,0.2621489857116913,4.638758469696228e-11,0.2621489857116913,True,1.5908762268555522e-10,True
same_row + strong_fingers,2,0.26178539270246,4.9434125012657215e-11,0.26178539270246,True,1.6840558587645227e-10,True
fingers + columns + strong_fingers,3,0.261045878320267,5.6244901679866844e-11,0.261045878320267,True,1.9033870700935073e-10,True
skip_fingers + same_row + columns,3,0.25918148245554434,7.773768042836488e-11,0.25918148245554434,True,2.613418072295688e-10,True
hands + dont_cross_home + home_row + columns + strum,5,0.258982110965146,8.046289768167587e-11,0.258982110965146,True,2.687355602309567e-10,True
hands + skip_fingers + dont_cross_home + same_row + home_row + columns + strum + strong_fingers,8,0.25831774787691386,9.023373521380071e-11,0.25831774787691386,True,2.9941193957306604e-10,True
hands + same_row + columns + strong_fingers,4,0.25582827493116866,1.3823858633428897e-10,0.25582827493116866,True,4.5574140397949464e-10,True
fingers + home_row + columns + strum + strong_fingers,5,0.25576126456576426,1.3982629496065323e-10,0.25576126456576426,True,4.580207482364987e-10,True
hands + home_row + columns,3,0.25560321116381496,1.4364187062146037e-10,0.25560321116381496,True,4.675222667997851e-10,True
hands + skip_fingers + same_row + home_row + columns + strong_fingers,6,0.25391618436434293,1.912443067100934e-10,0.25391618436434293,True,6.185179792965679e-10,True
fingers + skip_fingers + dont_cross_home + same_row + home_row,5,0.253079418742529,2.2024771872563696e-10,0.253079418742529,True,7.078401526339653e-10,True
hands + dont_cross_home + same_row + home_row + strong_fingers,5,0.2519021130945191,2.6842144803014055e-10,0.2519021130945191,True,8.572709996462614e-10,True
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + columns + strong_fingers,8,0.25163868682237195,2.805299189414079e-10,0.25163868682237195,True,8.903775688140337e-10,True
skip_fingers + dont_cross_home + same_row,3,0.25024535348531646,3.5397225839792704e-10,0.25024535348531646,True,1.1165421237119797e-09,True
fingers + skip_fingers + dont_cross_home + same_row + home_row + strong_fingers,6,0.24578545466503332,7.381380419255176e-10,0.24578545466503332,True,2.30122814944178e-09,True
hands + skip_fingers + dont_cross_home + same_row + columns + strong_fingers,6,0.24576800329131632,7.402429509080956e-10,0.24576800329131632,True,2.30122814944178e-09,True
fingers + dont_cross_home + same_row + strum,4,0.24574473950184977,7.430580130291461e-10,0.24574473950184977,True,2.30122814944178e-09,True
hands + same_row + home_row,3,0.24412441314462913,9.669913136760174e-10,0.24412441314462913,True,2.9588776125056582e-09,True
hands + dont_cross_home + same_row + home_row,4,0.24412441314462913,9.669913136760174e-10,0.24412441314462913,True,2.9588776125056582e-09,True
skip_fingers + same_row + home_row,3,0.24375485734959834,1.0265970848656966e-09,0.24375485734959834,True,3.1225661331331606e-09,True
fingers + same_row + columns + strum + strong_fingers,5,0.24305056482605342,1.1502440985721889e-09,0.24305056482605342,True,3.477957008108808e-09,True
hands + skip_fingers + dont_cross_home + same_row + home_row + columns + strum,7,0.24261147223934262,1.234537994583429e-09,0.24261147223934262,True,3.710875971953719e-09,True
skip_fingers + dont_cross_home + same_row + home_row + strum,5,0.24216381418493504,1.3266506324017033e-09,0.24216381418493504,True,3.964435515539593e-09,True
fingers + home_row + columns + strum,4,0.2412164347638449,1.5441551406321327e-09,0.2412164347638449,True,4.587577191064069e-09,True
fingers + skip_fingers + dont_cross_home + columns + strong_fingers,5,0.2399409621421512,1.8924367161363084e-09,0.2399409621421512,True,5.589798623963316e-09,True
hands + fingers + skip_fingers + dont_cross_home + same_row + home_row + columns,7,0.23956171633036047,2.0099649540512133e-09,0.23956171633036047,True,5.9028281121848855e-09,True
hands + skip_fingers + dont_cross_home + home_row + columns + strong_fingers,6,0.2385363299595221,2.364372854993574e-09,0.2385363299595221,True,6.903968736581236e-09,True
fingers + dont_cross_home + home_row + strum,4,0.23786036695355384,2.6304656887126815e-09,0.23786036695355384,True,7.637317993932843e-09,True
skip_fingers + dont_cross_home + same_row + home_row + strum + strong_fingers,6,0.2378241638180969,2.645509342983528e-09,0.2378241638180969,True,7.637600419573914e-09,True
fingers + columns,2,0.2367012287652618,3.1559449739406092e-09,0.2367012287652618,True,9.060044279121638e-09,True
fingers + skip_fingers + dont_cross_home + same_row + columns + strum + strong_fingers,7,0.23615453325750743,3.437886182051869e-09,0.23615453325750743,True,9.784304252940186e-09,True
skip_fingers + same_row + home_row + strong_fingers,4,0.23613847688684317,3.446525959939791e-09,0.23613847688684317,True,9.784304252940186e-09,True
fingers + dont_cross_home + same_row + strum + strong_fingers,5,0.23281644015119152,5.770542319221663e-09,0.23281644015119152,True,1.6291420580786022e-08,True
fingers + skip_fingers + dont_cross_home + same_row + columns + strum,6,0.232427750430213,6.1261256453071315e-09,0.232427750430213,True,1.7200275850285408e-08,True
hands + same_row + columns,3,0.2322979412209863,6.249546478669056e-09,0.2322979412209863,True,1.745091940218518e-08,True
fingers + skip_fingers + dont_cross_home + home_row + columns + strum + strong_fingers,7,0.23116350101540836,7.435927962880422e-09,0.23116350101540836,True,2.0650865157782042e-08,True
